,obs_gdp_growth,obs_gdi_growth,obs_cons_growth,obs_inv_growth,obs_wage_growth,obs_hours,obs_infl_pce,obs_infl_gdpdef,obs_ffr,obs_10y_rate,obs_10y_infl_exp,obs_spread,obs_tfp_growth
2010-03-31,-1.015431180742433,-1.015431180742433,0.024206976437382007,-2.8722743933724253,-0.04122013111122131,-46.18025649542766,0.2893331909148751,0.2893331909148751,3.635840022946569,3.635840022946569,0.39466659774226537,1.8186179240215001,-0.2720473491006157
2010-06-30,-1.3582431669604664,-1.3582431669604664,-0.09512844072106341,-3.8479936500688905,-0.13106417246980628,-46.6074950904149,0.27861622718435675,0.27861622718435675,3.6004545504375245,3.6004545504375245,0.3893081113301989,1.7833329775372253,-0.3179811154570041
2010-09-30,-1.6112681844292063,-1.6112681844292063,-0.11923966760888176,-4.5644899940710735,-0.208749086196165,-46.69918744854012,0.225897363407334,0.225897363407334,3.5987025432580135,3.5987025432580135,0.36294868394302676,1.790261447928741,-0.3463476058325276
2010-12-31,-1.685351970531961,-1.685351970531961,-0.15444490110855288,-4.415504012708748,-0.2975670915768059,-46.85630590582156,0.21859938354439862,0.21859938354439862,3.607687262365257,3.607687262365257,0.3592996895552331,1.779607562205171,-0.3341548098512458
2011-03-31,-1.4804390494907211,-1.4804390494907211,-0.13543323223411297,-4.182220860558324,-0.34275417104854855,-46.77994687738156,0.21388770453742684,0.21388770453742684,3.6051248775022424,3.6051248775022424,0.3569438544635099,1.785875032913422,-0.2928097496589831
2011-06-30,-1.5927880159110854,-1.5927880159110854,-0.21633171692830896,-4.231737743325398,-0.45004401147774103,-47.05577639464131,0.21478278352870542,0.21478278352870542,3.61335188966208,3.61335188966208,0.3573913895915041,1.7728574836752735,-0.34237354910886253
2011-09-30,-1.7739961407376774,-1.7739961407376774,-0.18104560825692817,-4.602662253177461,-0.4522152273766591,-46.80141441753326,0.18351559639267576,0.18351559639267576,3.597105645662298,3.597105645662298,0.34175780034745795,1.7880736608447363,-0.3343096774069576
2011-12-31,-1.6618632078682651,-1.6618632078682651,-0.21167288946429977,-4.723394708414505,-0.5340417756440817,-46.98606885984886,0.20605144248387447,0.20605144248387447,3.5801436082220652,3.5801436082220652,0.3530257191123284,1.7654216364546023,-0.3189680595321924
2012-03-31,-1.7002694788221528,-1.7002694788221528,-0.21858921898216144,-4.807531926071281,-0.47559687622741015,-47.2074146557358,0.1712715383523466,0.1712715383523466,3.591772337684089,3.591772337684089,0.3356357712844861,1.7717606995001276,-0.3518729054149493
2012-06-30,-1.61922124555691,-1.61922124555691,-0.20989232181578568,-4.550036400262837,-0.5530437777655764,-47.16204115779566,0.1803434940535775,0.1803434940535775,3.608854463761955,3.608854463761955,0.34017174493955915,1.781523645950923,-0.34469023932567416
2012-09-30,-2.036341056110483,-2.036341056110483,-0.3160607434250651,-5.114986706826623,-0.5639837282361208,-47.23943010866817,0.17481610142386964,0.17481610142386964,3.603092161479033,3.603092161479033,0.33740805277829217,1.7830832832767411,-0.3180794185409097
2012-12-31,-2.0006876742074255,-2.0006876742074255,-0.3155811130164089,-5.202650685632185,-0.5552036749960129,-47.18139249216537,0.1813135415842234,0.1813135415842234,3.58523029859114,3.58523029859114,0.3406567687464179,1.7699918084215602,-0.37660031480764805
2013-03-31,-2.075322703467952,-2.075322703467952,-0.32110411528254074,-5.252353907759903,-0.4852008005916032,-47.02073847706243,0.15514398454945327,0.15514398454945327,3.5974055070600652,3.5974055070600652,0.3275719942999634,1.7683127642963454,-0.3412035624107345
2013-06-30,-1.8105379718979424,-1.8105379718979424,-0.27203186013685915,-4.696171527193689,-0.5965766159536126,-47.35698814855031,0.13461353094552672,0.13461353094552672,3.568858650882417,3.568858650882417,0.3173067634677789,1.7799286006319814,-0.35303683671614283
2013-09-30,-1.884414260938929,-1.884414260938929,-0.31561338296023955,-4.756152478169989,-0.5777350106397092,-47.10274695016368,0.16998544712158026,0.16998544712158026,3.604319548739198,3.604319548739198,0.33499272554572473,1.7712620020417194,-0.32120290846579325
2013-12-31,-1.7057466424561685,-1.7057466424561685,-0.2239311837796565,-4.35353564195569,-0.5228706380184452,-46.807879408158215,0.12561533673462286,0.12561533673462286,3.580453328111557,3.580453328111557,0.3128076664022262,1.76653930080304,-0.33345161919874067
2014-03-31,-1.8232946156951513,-1.8232946156951513,-0.26178146494578713,-4.789198865330713,-0.5349390918726907,-47.17525638764963,0.17127367507533306,0.17127367507533306,3.582281711441202,3.582281711441202,0.3356368394831009,1.7717127227431333,-0.319229970615258
2014-06-30,-1.763046606726575,-1.763046606726575,-0.24707504216311085,-4.467977037876891,-0.4892969392149008,-47.18823883710122,0.17908795691166543,0.17908795691166543,3.606530583356966,3.606530583356966,0.33954397652985263,1.7948296994773485,-0.3653464359241962
2014-09-30,-1.7461850668814825,-1.7461850668814825,-0.2537770703832116,-4.5501719337605,-0.5801447725594235,-47.222843606503005,0.15632270546290236,0.15632270546290236,3.608606631742352,3.608606631742352,0.3281613546381714,1.7568493885349379,-0.3056124137711856
2014-12-31,-1.9091776309418063,-1.9091776309418063,-0.3060173672164374,-5.132995419565032,-0.5397763813285067,-47.28224261092181,0.17097479207778335,0.17097479207778335,3.570658543402937,3.570658543402937,0.33548739415123857,1.7681697162033,-0.34297246020418276
